user_id,month,actual_future_silence,risk_score,prediction
U-72667F,2025-02,0,0.207365,0
U-72667F,2025-03,0,0.159152,0
U-72667F,2025-04,0,0.126554,0
U-72667F,2025-05,0,0.144429,0
U-72667F,2025-06,0,0.255216,0
U-72667F,2025-07,1,0.267534,0
U-429ECA,2024-02,0,0.719132,1
U-429ECA,2024-05,1,0.699714,1
U-936C73,2024-01,1,0.528233,1
U-CE85B0,2025-05,1,0.719132,1
U-B6AE9B,2025-02,1,0.666302,1
U-4E735F,2024-06,1,0.461064,0
U-160381,2024-12,1,0.528435,1
U-4F1102,2024-01,1,0.666302,1
U-51FEF7,2024-09,0,0.639723,1
U-51FEF7,2024-10,1,0.494796,0
U-CA66FE,2024-01,1,0.772572,1
U-704E86,2025-04,0,0.473153,0
U-704E86,2025-05,1,0.420259,0
U-154B4F,2025-09,1,0.622399,1
U-AC7DF1,2025-07,1,0.751299,1
U-B54973,2025-02,1,0.772572,1
U-5E582C,2024-05,1,0.751299,1
U-4400C5,2024-02,0,0.575607,1
U-4400C5,2024-03,0,0.651172,1
U-4400C5,2024-04,0,0.498788,0
U-4400C5,2024-06,0,0.424517,0
U-4400C5,2024-07,0,0.424757,0
U-4400C5,2024-10,1,0.418715,0
U-2A48B1,2024-03,0,0.719132,1
U-2A48B1,2024-04,0,0.675718,1
U-2A48B1,2024-05,1,0.65658,1
U-5A6EED,2024-08,1,0.411309,0
U-28CCFC,2024-05,1,0.751299,1
U-DAA9E9,2024-01,1,0.64765,1
U-209500,2025-01,1,0.686224,1
U-EEE149,2024-08,0,0.719132,1
U-EEE149,2024-09,1,0.614145,1
U-83D595,2024-04,1,0.719132,1
U-DF686D,2024-03,1,0.721283,1
U-F4A18E,2025-08,1,0.719132,1
U-E670EE,2024-03,1,0.600008,1
U-E670EE,2025-07,1,0.706283,1
U-3A7D93,2024-08,1,0.56225,1
